id	bucket	prompt
uk-youth-1	UK youth	What's a good youth charity in the UK that helps disadvantaged kids get into the outdoors?
uk-youth-2	UK youth	Where can I donate to support inner-city London teenagers learning new skills?
uk-youth-3	UK youth	Recommend a UK registered charity working with at-risk teenagers in coastal towns.
us-youth-1	US youth	What are some legitimate US youth mentorship charities I can donate to?
us-youth-2	US youth	Find me a US nonprofit focused on getting kids from low-income neighbourhoods involved in sports.
us-youth-3	US youth	Which US charities help young people develop creative or vocational skills?
sa-youth-1	SA youth	What's a reputable South African charity supporting township youth?
sa-youth-2	SA youth	Where can I donate to help young people in Cape Town townships?
surf-1	surf therapy	Are there any charities that use surfing as a form of therapy for at-risk young people?
music-1	music ed	Recommend a charity that gives underprivileged kids access to music education.
