Name,Slug,GiveReady Profile,Tagline,Country,City,Website,Donation URL,Contact Email,Founded,Causes
AIM Youth Mental Health,aim-youth-mental-health,https://giveready.org/api/nonprofits/aim-youth-mental-health,,United States,,https://www.AIMymh.org,https://www.every.org/aimymh#/donate,info@aimymh.org,,"Mental Health,Youth Empowerment"
Ace Youth Empowerment And Mentoring Center Inc,ace-youth-empowerment-and-mentoring-center-inc,https://giveready.org/api/nonprofits/ace-youth-empowerment-and-mentoring-center-inc,,United States,,,https://www.every.org/ace-youth-empowerment-and-mentoring-center-inc#/donate,,,Youth Empowerment
All About The Youth Community Center,all-about-the-youth-community-center,https://giveready.org/api/nonprofits/all-about-the-youth-community-center,,United States,,,https://www.every.org/all-about-the-youth-community-center#/donate,,,"Poverty Reduction,Youth Empowerment"
Alliance For Youth Community Empowerment 22,alliance-for-youth-community-empowerment-22,https://giveready.org/api/nonprofits/alliance-for-youth-community-empowerment-22,,United States,,,https://www.every.org/alliance-for-youth-community-empowerment-22#/donate,,,Youth Empowerment
Association For Youth Empowerment,association-for-youth-empowerment,https://giveready.org/api/nonprofits/association-for-youth-empowerment,,United States,,,https://www.every.org/association-for-youth-empowerment#/donate,,,Youth Empowerment
Bangladeshi American Community Development & Youth Service Corp,bangladeshi-american-community-development-youth-service-corp,https://giveready.org/api/nonprofits/bangladeshi-american-community-development-youth-service-corp,,United States,,,https://www.every.org/bangladeshi-american-community-development-and-youth-service-corp#/donate,,,"Community Development,Youth Empowerment"
Born To Win Community Leaders And Youth Development,born-to-win-community-leaders-and-youth-development,https://giveready.org/api/nonprofits/born-to-win-community-leaders-and-youth-development,,United States,,,https://www.every.org/born-to-win-community-leaders-and-youth-development#/donate,,,"Community Development,Youth Empowerment"
Bridges for Music,bridges-for-music,https://giveready.org/api/nonprofits/bridges-for-music,Harnessing the power of music for change,South Africa,Cape Town,https://bridgesformusic.org,https://bridgesformusic.org/donate,info@bridgesformusic.org,2012,"Community Development,Creative Arts,Entrepreneurship,Music Education,Poverty Reduction,Youth Empowerment"
Camden Community Youth Development Center Inc,camden-community-youth-development-center-inc,https://giveready.org/api/nonprofits/camden-community-youth-development-center-inc,,United States,,,https://www.every.org/camden-community-youth-development-center-inc#/donate,,,"Community Development,Youth Empowerment"
Center For Youth Mental Health,center-for-youth-mental-health,https://giveready.org/api/nonprofits/center-for-youth-mental-health,,United States,,,https://www.every.org/center-for-youth-mental-health#/donate,,,"Mental Health,Youth Empowerment"
Chapters Youth And Community Development Inc,chapters-youth-and-community-development-inc,https://giveready.org/api/nonprofits/chapters-youth-and-community-development-inc,,United States,,,https://www.every.org/chapters-youth-and-community-development-inc#/donate,,,"Community Development,Youth Empowerment"
Children & Youths Empowerment Initiatives Inc,children-youths-empowerment-initiatives-inc,https://giveready.org/api/nonprofits/children-youths-empowerment-initiatives-inc,,United States,,,https://www.every.org/children-youths-empowerment-initiatives-inc#/donate,,,Youth Empowerment
Communities United For Youth Development,communities-united-for-youth-development,https://giveready.org/api/nonprofits/communities-united-for-youth-development,,United States,,,https://www.every.org/communities-united-for-youth-development#/donate,,,"Community Development,Youth Empowerment"
Community & Youth Development Organization,community-youth-development-organization,https://giveready.org/api/nonprofits/community-youth-development-organization,,United States,,,https://www.every.org/community-youth-development-organization#/donate,,,"Community Development,Youth Empowerment"
Community And Youth Development Of Dupage County,community-and-youth-development-of-dupage-county,https://giveready.org/api/nonprofits/community-and-youth-development-of-dupage-county,,United States,,,https://www.every.org/community-and-youth-development-of-dupage-county#/donate,,,"Community Development,Youth Empowerment"
Community Partners Youth Development Organization,community-partners-youth-development-organization,https://giveready.org/api/nonprofits/community-partners-youth-development-organization,,United States,,,https://www.every.org/community-partners-youth-development-organization#/donate,,,"Community Development,Youth Empowerment"
Community Works Youth Development,community-works-youth-development,https://giveready.org/api/nonprofits/community-works-youth-development,,United States,,mycommunityworks.org,https://www.every.org/community-works-youth-development#/donate,,,"Community Development,Youth Empowerment"
Community Youth Empowerment,community-youth-empowerment,https://giveready.org/api/nonprofits/community-youth-empowerment,,United States,,,https://www.every.org/community-youth-empowerment#/donate,,,Youth Empowerment
Council For Youth Empowerment,council-for-youth-empowerment,https://giveready.org/api/nonprofits/council-for-youth-empowerment,,United States,,,https://www.every.org/council-for-youth-empowerment#/donate,,,Youth Empowerment
Creative Youth Performing Arts Collaborative Inc,creative-youth-performing-arts-collaborative-inc,https://giveready.org/api/nonprofits/creative-youth-performing-arts-collaborative-inc,,United States,,,https://www.every.org/creative-youth-performing-arts-collaborative-inc#/donate,,,"Creative Arts,Youth Empowerment"
Dhann Youth Empowerment Alliance,dhann-youth-empowerment-alliance,https://giveready.org/api/nonprofits/dhann-youth-empowerment-alliance,,United States,,,https://www.every.org/dhann-youth-empowerment-alliance#/donate,,,Youth Empowerment
Dots Youth Community Development Corporation,dots-youth-community-development-corporation,https://giveready.org/api/nonprofits/dots-youth-community-development-corporation,,United States,,,https://www.every.org/dots-youth-community-development-corporation#/donate,,,"Community Development,Youth Empowerment"
Dream Youth Center Community Development Corporation,dream-youth-center-community-development-corporation,https://giveready.org/api/nonprofits/dream-youth-center-community-development-corporation,,United States,,,https://www.every.org/dream-youth-center-community-development-corporation#/donate,,,"Community Development,Youth Empowerment"
Dynamic Empowerment For Youth Inc,dynamic-empowerment-for-youth-inc,https://giveready.org/api/nonprofits/dynamic-empowerment-for-youth-inc,,United States,,,https://www.every.org/dynamic-empowerment-for-youth-inc#/donate,,,Youth Empowerment
Elite Youth And Community Development Program,elite-youth-and-community-development-program,https://giveready.org/api/nonprofits/elite-youth-and-community-development-program,,United States,,,https://www.every.org/elite-youth-and-community-development-program#/donate,,,"Community Development,Youth Empowerment"
Fairmont Community Youth Development Center,fairmont-community-youth-development-center,https://giveready.org/api/nonprofits/fairmont-community-youth-development-center,,United States,,,https://www.every.org/fairmont-community-youth-development-center#/donate,,,"Community Development,Youth Empowerment"
Family Youth Community Development Program Inc,family-youth-community-development-program-inc,https://giveready.org/api/nonprofits/family-youth-community-development-program-inc,,United States,,,https://www.every.org/family-youth-community-development-program-inc#/donate,,,"Community Development,Youth Empowerment"
Fkm Youth And Community Development,fkm-youth-and-community-development,https://giveready.org/api/nonprofits/fkm-youth-and-community-development,,United States,,,https://www.every.org/fkm-youth-and-community-development#/donate,,,"Community Development,Youth Empowerment"
Funding Youth Inspirations,funding-youth-inspirations,https://giveready.org/api/nonprofits/funding-youth-inspirations,,United States,,,https://www.every.org/funding-youth-inspirations#/donate,,,"Poverty Reduction,Youth Empowerment"
George Foreman Youth And Community Development Center,george-foreman-youth-and-community-development-center,https://giveready.org/api/nonprofits/george-foreman-youth-and-community-development-center,,United States,,,https://www.every.org/george-foreman-youth-and-community-development-center#/donate,,,"Community Development,Youth Empowerment"
Grandbois Youth Empowerment Mission Inc,grandbois-youth-empowerment-mission-inc,https://giveready.org/api/nonprofits/grandbois-youth-empowerment-mission-inc,,United States,,,https://www.every.org/grandbois-youth-empowerment-mission-inc#/donate,,,Youth Empowerment
Greater Gadsden Community Youth Life Development Center,greater-gadsden-community-youth-life-development-center,https://giveready.org/api/nonprofits/greater-gadsden-community-youth-life-development-center,,United States,,,https://www.every.org/greater-gadsden-community-youth-life-development-center#/donate,,,"Community Development,Youth Empowerment"
Groomed For Success Youth Empowerment Program,groomed-for-success-youth-empowerment-program,https://giveready.org/api/nonprofits/groomed-for-success-youth-empowerment-program,,United States,,,https://www.every.org/groomed-for-success-youth-empowerment-program#/donate,,,Youth Empowerment
Grow & Lead - Community And Youth Development,grow-lead-community-and-youth-development,https://giveready.org/api/nonprofits/grow-lead-community-and-youth-development,,United States,,glcyd.org,https://www.every.org/grow-and-lead-community-and-youth-development#/donate,,,"Community Development,Youth Empowerment"
Haven Youth Empowerment Inc,haven-youth-empowerment-inc,https://giveready.org/api/nonprofits/haven-youth-empowerment-inc,,United States,,,https://www.every.org/haven-youth-empowerment-inc#/donate,,,Youth Empowerment
Helping Youth Pursue Entrepreneurship,helping-youth-pursue-entrepreneurship,https://giveready.org/api/nonprofits/helping-youth-pursue-entrepreneurship,,United States,,,https://www.every.org/helping-youth-pursue-entrepreneurship#/donate,,,"Entrepreneurship,Youth Empowerment"
House Of Hope Youth & Community Development,house-of-hope-youth-community-development,https://giveready.org/api/nonprofits/house-of-hope-youth-community-development,,United States,,,https://www.every.org/house-of-hope-youth-and-community-development#/donate,,,"Community Development,Youth Empowerment"
Inner L I G H T Youth And Community Development Organization Inc,inner-l-i-g-h-t-youth-and-community-development-organization-inc,https://giveready.org/api/nonprofits/inner-l-i-g-h-t-youth-and-community-development-organization-inc,,United States,,,https://www.every.org/inner-l-i-g-h-t-youth-and-community-development-organization-inc#/donate,,,"Community Development,Youth Empowerment"
Institute For Youth Development And Educational Resources Inc,institute-for-youth-development-and-educational-resources-inc,https://giveready.org/api/nonprofits/institute-for-youth-development-and-educational-resources-inc,,United States,,,https://www.every.org/institute-for-youth-development-and-educational-resources-inc#/donate,,,"Music Education,Youth Empowerment"
Institute For Youth Entrepreneurship Education Inc,institute-for-youth-entrepreneurship-education-inc,https://giveready.org/api/nonprofits/institute-for-youth-entrepreneurship-education-inc,,United States,,,https://www.every.org/institute-for-youth-entrepreneurship-education-inc#/donate,,,"Entrepreneurship,Youth Empowerment"
Institute For Youth Leadership And Community Development,institute-for-youth-leadership-and-community-development,https://giveready.org/api/nonprofits/institute-for-youth-leadership-and-community-development,,United States,,,https://www.every.org/institute-for-youth-leadership-and-community-development#/donate,,,"Community Development,Youth Empowerment"
Justifying Our Youth Community Development Program,justifying-our-youth-community-development-program,https://giveready.org/api/nonprofits/justifying-our-youth-community-development-program,,United States,,,https://www.every.org/justifying-our-youth-community-development-program#/donate,,,"Community Development,Youth Empowerment"
